data,fechamento,volume
2025-05-08,136232.0,17200000000.0
2025-05-07,133398.0,9940000000.0
2025-05-06,133516.0,11140000000.0
2025-05-05,133491.0,10800000000.0
2025-05-02,135134.0,12740000000.0
2025-04-30,135067.0,15450000000.0
2025-04-29,135093.0,12760000000.0
2025-04-28,135016.0,11450000000.0
2025-04-25,134739.0,13050000000.0
2025-04-24,134580.0,14110000000.0
2025-04-23,132216.0,11340000000.0
2025-04-22,130464.0,8610000000.0
2025-04-17,129650.0,9980000000.0
2025-04-16,128317.0,11540000000.0
2025-04-15,129245.0,8840000000.0
2025-04-14,129454.0,10610000000.0
2025-04-11,127682.0,10080000000.0
2025-04-10,126355.0,11460000000.0
2025-04-09,127796.0,16920000000.000002
2025-04-08,123932.0,12810000000.0
2025-04-07,125588.0,14050000000.0
2025-04-04,127256.0,13180000000.0
2025-04-03,131141.0,12330000000.0
2025-04-02,131190.0,8820000000.0
2025-04-01,131147.0,8970000000.0
2025-03-31,130260.0,9990000000.0
2025-03-28,131902.0,8910000000.0
2025-03-27,133149.0,10020000000.0
2025-03-26,132520.0,9400000000.0
2025-03-25,132068.0,9240000000.0
2025-03-24,131321.0,8300000000.000001
2025-03-21,132345.0,14190000000.0
2025-03-20,131955.0,14190000000.0
2025-03-19,132508.0,12200000000.0
2025-03-18,131475.0,10990000000.0
2025-03-17,130834.0,11060000000.0
2025-03-14,128957.0,14570000000.0
2025-03-13,125637.0,11260000000.0
2025-03-12,123864.0,8250000000.0
2025-03-11,123507.0,8810000000.0
2025-03-10,124519.0,9370000000.0
2025-03-07,125035.0,9980000000.0
2025-03-06,123358.0,10060000000.0
2025-03-05,123047.0,9600000000.0
2025-02-28,122799.0,24870000000.0
2025-02-27,124799.0,12550000000.0
2025-02-26,124769.0,11360000000.0
2025-02-25,125980.0,11080000000.0
2025-02-24,125401.0,10150000000.0
2025-02-21,127128.0,11090000000.0
2025-02-20,127601.0,10640000000.0
2025-02-19,127309.0,9300000000.0
2025-02-18,128532.0,10990000000.0
2025-02-17,128552.0,9970000000.0
2025-02-14,128219.0,12560000000.0
2025-02-13,124850.0,9050000000.0
2025-02-12,124380.0,14630000000.0
2025-02-11,126522.0,11240000000.0
2025-02-10,125572.0,8910000000.0
2025-02-07,124619.0,10950000000.0
2025-02-06,126225.0,10030000000.0
2025-02-05,125534.0,9960000000.0
2025-02-04,125147.0,9780000000.0
2025-02-03,125970.0,9550000000.0
2025-01-31,126135.0,10240000000.0
2025-01-30,126913.0,11690000000.0
2025-01-29,123432.0,7350000000.0
2025-01-28,124056.0,8310000000.000001
2025-01-27,124862.0,11020000000.0
2025-01-24,122447.0,7780000000.0
2025-01-23,122483.0,9490000000.0
2025-01-22,122972.0,9980000000.0
2025-01-21,123338.0,7820000000.0
2025-01-20,122855.0,6050000000.0
2025-01-17,122350.0,10240000000.0
2025-01-16,121234.0,11310000000.0
2025-01-15,122650.0,11930000000.0
2025-01-14,119299.0,9350000000.0
2025-01-13,119007.0,8160000000.0
2025-01-10,118856.0,9260000000.0
2025-01-09,119781.0,6610000000.0
2025-01-08,119625.0,10230000000.0
2025-01-07,121163.0,11120000000.0
2025-01-06,120022.0,9690000.0
2025-01-03,118533.0,9800000.0
2025-01-02,120125.0,9370000.0
2024-12-30,120283.0,8900000.0
2024-12-27,120269.0,8940000.0
2024-12-26,121078.0,8340000.0
2024-12-23,120767.0,9950000.0
2024-12-20,122102.0,18130000.0
2024-12-19,121188.0,13680000.0
2024-12-18,120772.0,19740000.0
2024-12-17,124698.0,17560000.0
2024-12-16,123560.0,11070000.0
2024-12-13,124612.0,11760000.0
2024-12-12,126042.0,13450000.0
2024-12-11,129593.0,13170000.0
2024-12-10,128228.0,9140000.0
2024-12-09,127210.0,9370000.0
2024-12-06,125946.0,11220000.0
2024-12-05,127858.0,9530000.0
2024-12-04,126087.0,9390000.0
2024-12-03,126139.0,9990000.0
2024-12-02,125236.0,11520000.0
2024-11-29,125668.0,16399999.999999998
2024-11-28,124610.0,12830000.0
2024-11-27,127669.0,12320000.0
2024-11-26,129922.0,9750000.0
2024-11-25,129036.0,14410000.0
2024-11-22,129126.0,9190000.0
2024-11-21,126922.0,10270000.0
2024-11-19,128197.0,9100000.0
2024-11-18,127768.0,10740000.0
2024-11-14,127792.0,13140000.0
2024-11-13,127734.0,12690000.0
2024-11-12,127698.0,9520000.0
2024-11-11,127874.0,8400000.0
2024-11-08,127830.0,13180000.0
2024-11-07,129682.0,10520000.0
2024-11-06,130341.0,10540000.0
2024-11-05,130661.0,8560000.0
2024-11-04,130515.0,9010000.0
2024-11-01,128121.0,9900000.0
2024-10-31,129713.0,9070000.0
2024-10-30,130639.0,7330000.0
2024-10-29,130730.0,7640000.0
2024-10-28,131213.0,7140000.0
2024-10-25,129893.0,8510000.0
2024-10-24,130067.0,8310000.000000001
2024-10-23,129233.0,7960000.0
2024-10-22,129951.0,8220000.000000001
2024-10-21,130362.0,7770000.0
2024-10-18,130499.0,8680000.0
2024-10-17,130793.0,7090000.0
2024-10-16,131750.0,10280000.0
2024-10-15,131043.0,7980000.0
2024-10-14,131005.0,8500000.0
2024-10-11,129992.0,7970000.0
2024-10-10,130353.0,7620000.0
2024-10-09,129962.0,9220000.0
2024-10-08,131512.0,9090000.0
2024-10-07,132018.0,7700000.0
2024-10-04,131792.0,7050000.0
2024-10-03,131672.0,9820000.0
2024-10-02,133515.0,9400000.0
2024-10-01,132495.0,9840000.0
2024-09-30,131816.0,9130000.0
2024-09-27,132730.0,9340000.0
2024-09-26,133010.0,11620000.0
2024-09-25,131586.0,10530000.0
2024-09-24,132156.0,9370000.0
2024-09-23,130568.0,9140000.0
2024-09-20,131065.0,13610000.0
2024-09-19,133123.0,9250000.0
2024-09-18,133748.0,9790000.0
2024-09-17,134960.0,7310000.0
2024-09-16,135118.0,6710000.0
2024-09-13,134882.0,8870000.0
2024-09-12,134029.0,7000000.0
2024-09-11,134677.0,7950000.0
2024-09-10,134320.0,8250000.0
2024-09-09,134737.0,6590000.0
2024-09-06,134572.0,7560000.0
2024-09-05,136502.0,7530000.0
2024-09-04,136111.0,9420000.0
2024-09-03,134353.0,8800000.0
2024-09-02,134906.0,5530000.0
2024-08-30,136004.0,18400000.0
2024-08-29,136041.0,8390000.0
2024-08-28,137344.0,7460000.0
2024-08-27,136776.0,6750000.0
2024-08-26,136889.0,7560000.0
2024-08-23,135608.0,8650000.0
2024-08-22,135173.0,8050000.000000001
2024-08-21,136464.0,9570000.0
2024-08-20,136087.0,8109999.999999999
2024-08-19,135778.0,11280000.0
2024-08-16,133953.0,10870000.0
2024-08-15,134153.0,10530000.0
2024-08-14,133318.0,12160000.0
2024-08-13,132398.0,9800000.0
2024-08-12,131116.0,8600000.0
2024-08-09,130615.0,11320000.0
2024-08-08,128661.0,8620000.0
2024-08-07,127514.0,8840000.0
2024-08-06,126267.0,10050000.0
2024-08-05,125270.0,10890000.0
2024-08-02,125854.0,9950000.0
2024-08-01,127395.0,9810000.0
2024-07-31,127652.0,9470000.0
2024-07-30,126139.0,6850000.0
2024-07-29,126954.0,7080000.0
2024-07-26,127492.0,8270000.0
2024-07-25,125954.0,7130000.0
2024-07-24,126423.0,7300000.0
2024-07-23,126590.0,7020000.0
2024-07-22,127860.0,6100000.0
2024-07-19,127616.0,7620000.0
2024-07-18,127652.0,7590000.0
2024-07-17,129450.0,6670000.0
2024-07-16,129110.0,6820000.0
2024-07-15,129321.0,5830000.0
2024-07-12,128897.0,7210000.0
2024-07-11,128294.0,7970000.0
2024-07-10,127218.0,8150000.0
2024-07-09,127108.0,6680000.0
2024-07-08,126548.0,7430000.0
2024-07-05,126267.0,8090000.0
2024-07-04,126164.0,6540000.0
2024-07-03,125662.0,8530000.0
2024-07-02,124787.0,8369999.999999999
2024-07-01,124718.0,8230000.0
2024-06-28,123907.0,9070000.0
2024-06-27,124308.0,8710000.0
2024-06-26,122641.0,8180000.0
2024-06-25,122331.0,6940000.0
2024-06-24,122637.0,7840000.0
2024-06-21,121341.0,12910000.0
2024-06-20,120446.0,8660000.0
2024-06-19,120261.0,5650000.0
2024-06-18,119630.0,8100000.0
2024-06-17,119138.0,7380000.0
2024-06-14,119662.0,7850000.0
2024-06-13,119568.0,8540000.0
2024-06-12,119936.0,11280000.0
2024-06-11,121635.0,7490000.0
2024-06-10,120760.0,6570000.0
2024-06-07,120767.0,9800000.0
2024-06-06,122899.0,8400000.0
2024-06-05,121407.0,8770000.0
2024-06-04,121802.0,8530000.0
2024-06-03,122032.0,8430000.0
2024-05-31,122098.0,15920000.0
2024-05-29,122707.0,8260000.0
2024-05-28,123780.0,9180000.0
2024-05-27,124496.0,4330000.0
2024-05-24,124306.0,9210000.0
2024-05-23,124729.0,9990000.0
2024-05-22,125650.0,12400000.0
2024-05-21,127412.0,9140000.0
2024-05-20,127751.0,9340000.0
2024-05-17,128151.0,10260000.0
2024-05-16,128284.0,9860000.0
2024-05-15,128028.0,10860000.0
2024-05-14,128515.0,11890000.0
2024-05-13,128155.0,8920000.0
2024-05-10,127600.0,12570000.0
2024-05-09,128188.0,13370000.0
2024-05-08,129481.0,9790000.0
2024-05-07,129210.0,10180000.0
2024-05-06,128466.0,8780000.0
2024-05-03,128509.0,12800000.0
2024-05-02,127122.0,11550000.0
2024-04-30,125924.0,10890000.0
2024-04-29,127352.0,8390000.0
2024-04-26,126526.0,8900000.0
2024-04-25,124646.0,10090000.0
2024-04-24,124741.0,10530000.0
2024-04-23,125148.0,11260000.0
2024-04-22,125573.0,10260000.0
2024-04-19,125124.0,13600000.0
2024-04-18,124196.0,10660000.0
2024-04-17,124171.0,11370000.0
2024-04-16,124389.0,14010000.0
2024-04-15,125334.0,13500000.0
2024-04-12,125946.0,10250000.0
2024-04-11,127396.0,8880000.0
2024-04-10,128054.0,10450000.0
2024-04-09,129890.0,8490000.0
2024-04-08,128857.0,8130000.000000001
2024-04-05,126795.0,9100000.0
2024-04-04,127428.0,13240000.0
2024-04-03,127318.0,11030000.0
2024-04-02,127549.0,9070000.0
2024-04-01,126990.0,9370000.0
2024-03-28,128106.0,9940000.0
2024-03-27,127691.0,9920000.0
2024-03-26,126863.0,9440000.0
2024-03-25,126931.0,8060000.000000001
2024-03-22,127027.0,9370000.0
2024-03-21,128159.0,9570000.0
2024-03-20,129125.0,10820000.0
2024-03-19,127529.0,11180000.0
2024-03-18,126954.0,10510000.0
2024-03-15,126742.0,14990000.0
2024-03-14,127690.0,9290000.0
2024-03-13,128006.0,8840000.0
2024-03-12,127668.0,9480000.0
2024-03-11,126124.0,8900000.0
2024-03-08,127071.0,11940000.0
2024-03-07,128340.0,7350000.0
2024-03-06,128890.0,11060000.0
2024-03-05,128098.0,9690000.0
2024-03-04,128341.0,7970000.0
2024-03-01,129180.0,9770000.0
2024-02-29,129020.0,12000000.0
2024-02-28,130155.0,9050000.0
2024-02-27,131689.0,10050000.0
2024-02-26,129609.0,7440000.0
2024-02-23,129419.0,9230000.0
2024-02-22,130241.0,10770000.0
2024-02-21,130032.0,12590000.0
2024-02-20,129916.0,12240000.0
2024-02-19,129036.0,5800000.0
2024-02-16,128726.0,10120000.0
2024-02-15,127804.0,10980000.0
2024-02-14,127018.0,7750000.0
2024-02-09,128026.0,12120000.0
2024-02-08,128217.0,13630000.0
2024-02-07,129950.0,15430000.0
2024-02-06,130416.0,13780000.0
2024-02-05,127593.0,9640000.0
2024-02-02,127182.0,10980000.0
2024-02-01,128481.0,10230000.0
2024-01-31,127752.0,12500000.0
2024-01-30,127402.0,10040000.0
2024-01-29,128503.0,8760000.0
2024-01-26,128967.0,8510000.0
2024-01-25,128169.0,8760000.0
2024-01-24,127816.0,8820000.0
2024-01-23,128263.0,9370000.0
2024-01-22,126602.0,9510000.0
2024-01-19,127636.0,11960000.0
2024-01-18,127316.0,12460000.0
